time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/std,train/value_loss
208,416.0584678333334,1,9,2048,300.0,,,,,,,,,,,
251,413.77625607692306,2,16,4096,300.0,0.046646506,63580,0.144775390625,0.2,0.027450919151306152,-24.3697971701622,-0.008368326909840107,167.8446502685547,0.0003,6.326370716094971,276.52882167100904
262,415.4827296,3,23,6144,300.0,0.025136605,63590,0.139599609375,0.2,0.07065409421920776,-24.34966983795166,-0.014013122714823112,142.42095947265625,0.0003,6.335724830627441,312.2432430148125
274,417.7551678888889,4,29,8192,300.0,0.061000854,63600,0.223486328125,0.2,0.05458414554595947,-24.348765671253204,0.0029648897179868072,117.46145629882812,0.0003,6.333102703094482,300.3795485019684
282,407.7332093529412,5,36,10240,300.0,0.062174097,63610,0.263134765625,0.2,0.02839869260787964,-24.35087084174156,0.01229296704477747,46.35325622558594,0.0003,6.338048458099365,306.8022969245911
288,404.6021571,6,42,12288,300.0,0.03269627,63620,0.146826171875,0.2,0.09543001651763916,-24.350160658359528,-0.0104049540394044,148.6767578125,0.0003,6.3379974365234375,294.0053370475769
281,406.993573787234,7,50,14336,300.0,0.07019812,63630,0.331884765625,0.2,-0.014156699180603027,-24.37683151960373,-0.0017249933895072899,100.77471923828125,0.0003,6.387914657592773,273.5995933175087
276,410.25135772222217,8,59,16384,300.0,0.029803144,63640,0.119189453125,0.2,0.08913552761077881,-24.397692966461182,-0.008833540102932603,185.52035522460938,0.0003,6.381638050079346,277.85222896337507
273,406.8920734098361,9,67,18432,300.0,0.04568105,63650,0.235693359375,0.2,0.010249555110931396,-24.410720294713975,-0.0008897992731363047,254.77294921875,0.0003,6.399380207061768,303.9039755225182
271,408.3264035441176,10,75,20480,300.0,0.030033346,63660,0.16904296875,0.2,0.239088237285614,-24.401468765735626,-0.01003483196691377,31.085376739501953,0.0003,6.37565279006958,257.3994421243668
269,408.4476226533333,11,83,22528,300.0,0.04823997,63670,0.177392578125,0.2,0.16423439979553223,-24.38943569660187,-0.013014923001173883,174.6329803466797,0.0003,6.366527080535889,294.5751923561096
268,408.6949265061728,12,91,24576,300.0,0.0584334,63680,0.215185546875,0.2,0.142139732837677,-24.391621077060698,-0.012151480543252546,162.55319213867188,0.0003,6.363555908203125,308.77421168088915
266,412.0316875681818,13,99,26624,300.0,0.027164632,63690,0.143017578125,0.2,0.024464428424835205,-24.413985776901246,-0.008830849343212321,227.27883911132812,0.0003,6.394101619720459,279.0923244714737
265,414.3340472842105,14,108,28672,300.0,0.046427757,63700,0.209375,0.2,0.08395814895629883,-24.445791733264922,-0.016728389730269556,97.91655731201172,0.0003,6.401737213134766,313.0890131115913
264,416.45822788,15,116,30720,300.0,0.036097817,63710,0.15869140625,0.2,0.08642417192459106,-24.4530208170414,-0.014020089172117878,85.24244689941406,0.0003,6.398367881774902,320.5911415219307
263,416.0764973699999,16,124,32768,300.0,0.06583418,63720,0.267041015625,0.2,0.0001080632209777832,-24.47418057322502,-0.0014181306934915483,269.35626220703125,0.0003,6.443288803100586,325.44211860895155
265,417.0326158099999,17,131,34816,300.0,0.04441309,63730,0.159521484375,0.2,0.14720845222473145,-24.50430237054825,-0.005540581553941592,156.22886657714844,0.0003,6.45844030380249,296.0388709783554
267,416.82660357000003,18,137,36864,300.0,0.044715554,63740,0.2548828125,0.2,0.13441705703735352,-24.522068166732787,-0.013377952226437628,134.67884826660156,0.0003,6.4652628898620605,316.2455968141556
269,418.18234459,19,144,38912,300.0,0.06329703,63750,0.32099609375,0.2,-3.349781036376953e-05,-24.522096729278566,0.0008895141450921074,187.4779510498047,0.0003,6.480061054229736,281.47183265686033
271,418.56230098,20,150,40960,300.0,0.029712234,63760,0.1359375,0.2,0.11003440618515015,-24.53026601076126,-0.009011435789579992,66.07295227050781,0.0003,6.483293056488037,309.6398512005806
