#{"t_start": 1700088230.1399243, "env_id": null}
r,l,t
458.728856,300,5.453274
364.311953,300,6.339699
307.457859,300,7.186341
448.441585,300,8.019981
458.523758,300,8.853976
458.886796,300,9.688168
453.189605,300,11.292011
336.442509,300,12.124983
423.024607,300,12.959241
457.874593,300,13.792539
367.994027,300,14.625706
449.930113,300,15.460262
394.285068,300,16.293862
455.622567,300,17.857044
382.77303,300,18.704057
380.85216,300,20.260205
423.401691,300,21.094232
399.992317,300,21.928221
450.064664,300,22.760987
437.856834,300,23.595055
445.298212,300,25.111818
458.362116,300,25.945513
362.439546,300,26.778717
464.106413,300,27.612734
431.669937,300,28.44681
354.501483,300,29.281217
453.357234,300,30.126899
382.821361,300,31.652552
260.79461,300,32.487243
441.808055,300,33.320586
443.188199,300,34.154965
361.689598,300,34.988707
329.834456,300,35.82249
363.403306,300,36.655615
428.695687,300,38.200889
462.093776,300,39.034083
369.997962,300,39.868793
321.996902,300,40.701985
457.434776,300,41.548755
280.938063,300,42.382366
399.246114,300,44.044251
384.786306,300,45.12087
467.868802,300,46.19917
418.188976,300,47.305357
447.835783,300,48.392978
365.239448,300,49.495671
461.446255,300,50.601909
453.221117,300,52.521993
379.240041,300,53.612991
453.839387,300,54.720147
449.899003,300,55.836563
461.057692,300,56.919467
453.973851,300,57.977054
373.644258,300,59.070525
386.41402,300,60.969922
385.376027,300,62.048718
461.437921,300,63.141236
425.953769,300,64.220659
307.254078,300,65.270986
376.643581,300,66.335373
323.763765,300,67.41242
458.704417,300,69.279674
464.794245,300,70.339506
459.979875,300,71.40958
329.576498,300,72.457029
356.042143,300,73.505244
449.487142,300,74.550766
427.194643,300,75.597661
357.335421,300,77.40562
400.439467,300,78.515113
432.719076,300,79.601979
348.985363,300,80.648642
408.848556,300,81.7455
451.182332,300,82.836591
467.866043,300,83.929136
357.449962,300,85.76578
438.348773,300,86.873152
475.631859,300,87.965511
418.073489,300,89.058899
416.056606,300,90.140352
365.156659,300,91.231403
439.618965,300,93.137279
464.922765,300,94.203556
467.419116,300,95.284433
395.994494,300,96.377649
479.38072,300,97.459704
455.341237,300,98.562432
451.822162,300,99.644011
471.44652,300,101.552172
457.58288,300,102.629657
466.186876,300,103.725252
464.208896,300,104.820203
463.906386,300,105.887947
412.006769,300,106.958965
367.607659,300,108.017896
452.387165,300,109.917555
431.551806,300,111.015833
452.069782,300,112.076636
458.104749,300,113.160092
386.692351,300,114.227748
450.078264,300,115.30458
476.244988,300,116.352893
429.920341,300,118.209532
347.933972,300,119.279273
464.598377,300,120.375517
325.794488,300,121.421215
447.785327,300,122.494761
419.872237,300,123.685028
411.888926,300,124.518882
358.331062,300,126.817754
420.452236,300,127.662478
444.22468,300,128.49652
400.49115,300,129.33065
416.875058,300,130.164157
472.661379,300,130.997836
471.907837,300,131.831017
445.447673,300,133.397969
450.809461,300,134.230553
396.788244,300,135.065132
419.061845,300,135.898217
432.015732,300,136.732372
450.251655,300,137.564868
459.16585,300,139.152294
454.013919,300,139.98496
328.71881,300,140.819153
433.992772,300,141.652699
338.023088,300,142.486659
443.632521,300,143.320025
387.717726,300,144.15407
379.645043,300,145.710709
391.007569,300,146.545532
457.39523,300,147.378669
360.930323,300,148.212355
448.007712,300,149.046723
402.55795,300,149.89373
429.164889,300,150.781242
306.690982,300,152.571047
430.872041,300,153.630514
455.305215,300,154.695638
449.597737,300,155.760874
374.012917,300,156.833648
378.341992,300,157.889336
446.471076,300,158.964539
337.498346,300,160.741849
242.772339,300,161.802348
460.438317,300,162.871793
395.177706,300,163.942866
457.528988,300,165.001515
384.522917,300,166.037142
460.749333,300,167.129295
439.386134,300,169.009295
455.03381,300,170.101225
453.836734,300,171.19375
466.932306,300,172.281095
474.948282,300,173.369998
462.951967,300,174.458884
437.847291,300,175.546407
384.610939,300,177.405778
453.828274,300,178.496702
435.392928,300,179.588462
462.578409,300,180.6812
426.294704,300,181.773711
434.51141,300,182.847396
370.981008,300,184.75228
429.402826,300,185.84444
446.49219,300,186.923344
361.110493,300,188.015604
450.625732,300,189.083203
448.75133,300,190.125412
390.163046,300,191.199388
386.270471,300,193.01411
448.283487,300,194.081706
433.534586,300,195.123703
444.045407,300,196.190092
421.076588,300,197.301212
384.548082,300,198.354289
454.919274,300,199.407886
459.606732,300,201.146013
461.650601,300,202.190246
473.748989,300,203.260887
454.606625,300,204.309117
440.760775,300,205.33833
458.044159,300,206.3966
466.514644,300,207.454746
390.74158,300,209.261031
465.073252,300,210.317058
465.823228,300,211.363983
370.342783,300,212.458417
285.000183,300,213.518972
385.71477,300,214.580623
450.052451,300,215.625133
467.887667,300,217.429529
350.055477,300,218.499299
440.821997,300,219.570238
476.375156,300,220.638813
401.636238,300,221.696192
432.047021,300,222.786818
347.465119,300,224.54194
467.236633,300,225.590873
467.897389,300,226.663347
445.600381,300,227.722712
440.849981,300,228.780678
462.955168,300,229.838567
420.916723,300,230.885754
449.27841,300,232.618512
467.2628,300,233.701184
465.774481,300,234.759032
470.10622,300,235.828505
481.673067,300,236.911364
359.978551,300,238.026533
443.018032,300,239.130177
458.81945,300,240.91341
477.423385,300,242.007846
456.59417,300,243.131439
419.493405,300,244.236852
457.956637,300,245.342408
444.749696,300,246.446015
465.87919,300,247.555945
480.283818,300,249.353081
356.351634,300,250.460185
396.739028,300,251.538833
464.094312,300,252.655586
444.32462,300,253.736638
422.742378,300,254.857811
466.403642,300,255.955384
396.035058,300,257.768162
451.337014,300,258.874077
456.910763,300,259.950855
456.241413,300,261.058202
469.710942,300,262.179293
373.893014,300,263.288207
407.052099,300,264.383556
472.767315,300,266.168686
474.540214,300,267.235805
473.054858,300,268.318884
308.185421,300,269.412077
474.911838,300,270.50544
440.57785,300,271.572385
454.905301,300,273.400957
471.781799,300,274.491342
436.871617,300,275.586722
470.469404,300,276.683965
309.196511,300,277.77695
466.365381,300,278.833686
446.691755,300,279.905144
339.882306,300,281.682544
474.649551,300,282.761288
379.857437,300,283.854079
365.845051,300,284.949149
460.710268,300,286.029073
455.294812,300,287.110155
466.078158,300,288.191244
473.878367,300,290.000765
469.635132,300,291.097178
465.647029,300,292.200561
437.64362,300,293.332743
482.59449,300,294.413051
437.432352,300,295.507835
405.316695,300,296.615265
388.606366,300,298.412979
483.173537,300,299.504911
458.539174,300,300.584842
460.007634,300,301.723379
354.200195,300,302.82915
470.403649,300,303.938317
365.051812,300,305.035092
446.898038,300,306.861777
438.159899,300,307.952365
469.147724,300,309.061116
471.855066,300,310.138639
400.595096,300,311.23238
471.572094,300,312.339573
345.882346,300,313.430225
423.465616,300,315.229179
420.621913,300,316.336108
432.218355,300,317.443214
265.460867,300,318.547338
367.146722,300,319.641965
463.899867,300,320.757081
465.068551,300,322.584236
468.863286,300,323.706342
474.735847,300,324.813393
481.639938,300,325.935343
465.558951,300,327.054752
349.599803,300,328.16469
456.670822,300,329.243317
275.735964,300,331.040285
445.021673,300,332.132464
349.209987,300,333.221361
471.498872,300,334.332716
426.877496,300,335.423355
460.13419,300,336.503025
330.776978,300,337.625647
464.569227,300,339.419373
463.615654,300,340.503871
477.365593,300,341.6123
458.446773,300,342.704732
463.642533,300,343.823312
467.910519,300,344.958686
451.880835,300,346.062843
411.523947,300,347.843146
465.296338,300,348.96494
364.638185,300,350.099584
440.334677,300,351.247998
415.233518,300,352.384267
470.946897,300,353.491371
469.867867,300,354.600138
460.758925,300,356.382291
437.819768,300,357.487778
466.744578,300,358.626095
440.076352,300,359.733567
441.63764,300,360.846428
344.999353,300,361.955435
425.821837,300,363.066011
436.664364,300,364.905681
425.400215,300,365.997061
345.935514,300,367.108041
355.802562,300,368.196657
460.854389,300,369.318536
450.245332,300,370.412737
332.874603,300,372.209025
461.658127,300,373.302436
471.997972,300,374.433048
475.503434,300,375.54432
446.601346,300,376.656763
399.498912,300,377.779394
461.955921,300,378.899326
420.250022,300,380.713086
443.771009,300,381.824192
416.925835,300,382.929142
457.568943,300,384.022169
404.713321,300,385.108179
403.870149,300,386.229427
368.53468,300,387.361704
471.938429,300,389.187956
394.068215,300,390.317619
464.117688,300,391.467023
359.517683,300,392.599045
470.378205,300,393.741934
274.316119,300,394.859528
432.518777,300,395.976495
446.445819,300,397.810022
439.001458,300,398.93062
286.224975,300,400.050476
325.335167,300,401.180777
442.465644,300,402.304382
461.953883,300,403.43455
465.067044,300,404.552739
463.340509,300,406.364017
478.2169,300,407.468934
462.594055,300,408.58744
386.969115,300,409.690506
341.867288,300,410.814082
439.333436,300,411.919524
354.588652,300,413.742046
331.858482,300,414.852712
440.742469,300,415.938079
459.883739,300,416.999148
455.59496,300,418.042421
453.013598,300,419.106193
421.698213,300,420.193784
416.257079,300,421.970034
468.207121,300,423.034364
452.701234,300,424.095277
470.157908,300,425.140615
478.919945,300,426.188081
440.000149,300,427.250005
477.230329,300,428.32706
441.775931,300,430.105699
321.463786,300,431.135442
468.81267,300,432.196912
467.441624,300,433.270861
464.646541,300,434.347166
473.200287,300,435.408066
400.622929,300,436.496633
466.394547,300,438.265987
459.780673,300,439.336338
395.933361,300,440.413197
423.514866,300,441.490347
469.360665,300,442.537656
292.012254,300,443.599163
415.189793,300,444.631175
440.429425,300,446.396542
319.425996,300,447.442957
472.375968,300,448.519319
338.75868,300,449.586352
452.717619,300,450.630385
460.948504,300,451.690744
474.448604,300,452.712857
375.28096,300,454.507766
463.792581,300,455.55269
404.301003,300,456.62813
351.506187,300,457.673989
329.396296,300,458.73267
452.337564,300,459.779666
458.64207,300,461.602198
434.280105,300,462.649876
435.228418,300,463.726182
382.666878,300,464.821451
471.992373,300,465.883172
454.880515,300,466.944597
451.094217,300,468.003397
430.302287,300,469.794026
478.250761,300,470.867078
447.182176,300,471.900221
475.812511,300,472.933419
368.584806,300,474.006205
352.483131,300,475.040789
456.371254,300,476.09869
449.993879,300,477.859873
456.280414,300,478.957595
469.26431,300,480.031808
433.808395,300,481.0818
436.126306,300,482.12903
470.009989,300,483.199501
435.215965,300,484.260516
462.133611,300,486.022694
444.771654,300,487.055943
423.451125,300,488.100582
425.246299,300,489.188365
442.063554,300,490.235956
442.419024,300,491.279932
428.004396,300,492.348601
351.654777,300,494.107111
466.809462,300,495.200054
448.970027,300,496.244242
436.2695,300,497.291639
425.818331,300,498.337529
355.133587,300,499.39561
443.231321,300,500.427445
391.11608,300,502.214796
379.592612,300,503.26314
461.246927,300,504.294075
386.067318,300,505.314851
432.017721,300,506.371017
416.976305,300,507.457964
467.148555,300,509.264452
439.018593,300,510.323797
454.349639,300,511.38519
469.85435,300,512.446087
456.20936,300,513.489674
385.698624,300,514.5334
342.912518,300,515.56563
458.622852,300,517.375072
318.016576,300,518.406196
