rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/entropy_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/value_loss,train/loss,train/std,train/approx_kl
300.0,205,230.00203783333333,9,2048,1,,,,,,,,,,,
300.0,238,232.18152684615387,17,4096,2,-11.388145703077317,0.0003,0.125634765625,10,0.027360141277313232,-0.023167483354336584,0.2,97.12643934488297,28.096847534179688,1.006666898727417,0.015084196
300.0,245,229.31418694999996,24,6144,3,-11.393232122063637,0.0003,0.075927734375,20,0.6959695219993591,-0.019540244941890706,0.2,116.31842643022537,33.20176696777344,1.0028024911880493,0.009113641
300.0,253,228.23225633333334,32,8192,4,-11.367072585225106,0.0003,0.06884765625,30,0.8115761578083038,-0.016198598964547273,0.2,93.00535124540329,32.93226623535156,1.0012900829315186,0.009735452
298.52941176470586,259,232.9493307647059,39,10240,5,-11.36552774310112,0.0003,0.109326171875,40,0.8341810554265976,-0.024783901585033165,0.2,104.37265881299973,33.97800827026367,1.0015454292297363,0.011100227
298.780487804878,264,248.27533392682926,46,12288,6,-11.33823740184307,0.0003,0.133642578125,50,0.8672576546669006,-0.02104837906372268,0.2,102.27219229340554,20.383943557739258,0.9963440299034119,0.012529796
297.6666666666667,266,255.1790139583333,53,14336,7,-11.32705978155136,0.0003,0.064697265625,60,0.7864978611469269,-0.015293078961258288,0.2,123.9635470032692,28.17376708984375,0.997761070728302,0.009535994
297.9259259259259,268,258.8075883148148,61,16384,8,-11.333031514286995,0.0003,0.127734375,70,0.8807242587208748,-0.013606926132342777,0.2,110.59523317813873,20.772554397583008,0.9965028166770935,0.012926679
298.1639344262295,269,262.6581534262295,68,18432,9,-11.32610781788826,0.0003,0.104736328125,80,0.8366407305002213,-0.016044536199478897,0.2,94.28462354540825,24.38641357421875,0.9962942004203796,0.010749651
298.3529411764706,271,259.9924286617647,75,20480,10,-11.327081024646759,0.0003,0.07236328125,90,0.7964731305837631,-0.016287470728275365,0.2,92.91539053320885,15.682644844055176,0.9973621368408203,0.009452658
298.50666666666666,272,266.99965024,82,22528,11,-11.303062659502029,0.0003,0.176904296875,100,0.8476829081773758,-0.015060663152689812,0.2,89.56618546247482,14.953468322753906,0.9910353422164917,0.019916445
298.6341463414634,273,269.910840402439,89,24576,12,-11.246516370773316,0.0003,0.1783203125,110,0.7841442823410034,-0.015381316158163827,0.2,112.08566743135452,25.577051162719727,0.9832329154014587,0.02250609
298.7415730337079,274,273.09626411235956,97,26624,13,-11.19551872909069,0.0003,0.141259765625,120,0.827630952000618,-0.012601521120814141,0.2,109.6883421778679,144.3165283203125,0.9797301888465881,0.017592743
298.82105263157894,274,270.50799764210524,104,28672,14,-11.168980202078819,0.0003,0.116162109375,130,0.8407509624958038,-0.015458099383977242,0.2,100.20093355178832,14.950179100036621,0.9770299196243286,0.015274508
298.88,274,272.70218907,111,30720,15,-11.148300737142563,0.0003,0.125732421875,140,0.837433472275734,-0.01628786261571804,0.2,68.88495629131793,11.010754585266113,0.9739923477172852,0.014227112
298.88,275,277.10589318999996,119,32768,16,-11.141213020682335,0.0003,0.198388671875,150,0.7704500406980515,-0.01575645920020179,0.2,100.79578665494918,11.592573165893555,0.975723147392273,0.02285529
298.88,275,286.01028563999995,126,34816,17,-11.146419084072113,0.0003,0.1140625,160,0.8313368856906891,-0.020418498208164236,0.2,85.07127648890018,8.651660919189453,0.9736534953117371,0.013874633
298.88,275,291.79538028,133,36864,18,-11.13379176557064,0.0003,0.3078125,170,0.6447937190532684,-0.00907337107710191,0.2,127.97649739384651,36.75717544555664,0.9729015827178955,0.02772906
298.88,276,297.31138025,140,38912,19,-11.128063040971757,0.0003,0.169873046875,180,0.819362536072731,-0.018096758810133905,0.2,110.49487909078599,111.10092163085938,0.9728022217750549,0.017835094
299.38,276,299.27765499000003,148,40960,20,-11.119061774015426,0.0003,0.1146484375,190,0.8586829304695129,-0.008433295982831624,0.2,102.41606555581093,65.5464096069336,0.9705369472503662,0.015072713
299.38,276,299.4855116,155,43008,21,-11.103382542729378,0.0003,0.1169921875,200,0.8595757931470871,-0.013500127125007566,0.2,92.28368185162545,45.77931594848633,0.9691610932350159,0.015060892
300.0,276,299.02092920999996,162,45056,22,-11.09198405444622,0.0003,0.17451171875,210,0.878299742937088,-0.012426983949262648,0.2,109.27311236858368,111.73773956298828,0.9673175811767578,0.02056268
300.0,276,306.41319150000004,170,47104,23,-11.091918638348579,0.0003,0.166455078125,220,0.84122534096241,-0.013801772151782642,0.2,109.81177687644958,32.1531982421875,0.9691055417060852,0.023832262
300.0,277,308.43030404999996,177,49152,24,-11.105201551318169,0.0003,0.20693359375,230,0.4691004753112793,-0.014289141057815868,0.2,147.43375849723816,36.92454147338867,0.9699333906173706,0.027700314
300.0,277,311.56998458999993,184,51200,25,-11.10928005874157,0.0003,0.08681640625,240,0.8301485925912857,-0.011684198594230111,0.2,125.50003371834755,26.171327590942383,0.9709619283676147,0.011707723
300.0,277,311.78353074,191,53248,26,-11.106299927830696,0.0003,0.148583984375,250,0.7799255847930908,-0.018757553190516772,0.2,129.43583307266235,55.00457763671875,0.9684742093086243,0.016988559
300.0,277,308.93526893000006,198,55296,27,-11.086380875110626,0.0003,0.153515625,260,0.8194763362407684,-0.0151925166908768,0.2,115.82119849920272,19.413602828979492,0.9671360850334167,0.015333045
300.0,278,308.63925144,205,57344,28,-11.091654098033905,0.0003,0.196630859375,270,0.8602069169282913,-0.012894349794078153,0.2,108.3483113259077,235.90512084960938,0.9686752557754517,0.021447603
299.28,278,311.55672541,212,59392,29,-11.068546497821808,0.0003,0.1755859375,280,0.8601424098014832,-0.014237312714976724,0.2,111.7952322036028,108.05886840820312,0.964203953742981,0.015610145
299.28,279,311.41851542999996,220,61440,30,-11.041193169355392,0.0003,0.17275390625,290,0.8904497474431992,-0.017447501181595725,0.2,80.53294842541217,10.485687255859375,0.9612887501716614,0.02100005
299.28,279,317.02047060999996,227,63488,31,-11.031614062190055,0.0003,0.109326171875,300,0.8201413601636887,-0.017575608736660798,0.2,101.17951037287712,15.740350723266602,0.9614059329032898,0.013716206
299.28,279,320.46471849,234,65536,32,-11.023269674181938,0.0003,0.170068359375,310,0.7862093150615692,-0.01596715242776554,0.2,137.66158735752106,48.38974380493164,0.9595227837562561,0.01898906
299.28,279,314.9660879,241,67584,33,-11.001803082227706,0.0003,0.15556640625,320,0.7793893963098526,-0.008038349581329384,0.2,138.04345788359643,15.937276840209961,0.957241952419281,0.019018712
299.28,279,316.90128933,249,69632,34,-10.994960990548133,0.0003,0.161083984375,330,0.8187353909015656,-0.010219358747417574,0.2,104.2332822561264,11.270928382873535,0.9565527439117432,0.021597875
299.28,279,314.85481777999996,256,71680,35,-10.977876859903336,0.0003,0.1669921875,340,0.8414877355098724,-0.006383145917061484,0.2,125.13119348287583,9.833207130432129,0.9546108841896057,0.022271262
299.28,279,316.33626731,263,73728,36,-10.972509616613388,0.0003,0.19853515625,350,0.8693962544202805,-0.006707909407850821,0.2,109.06960699856282,135.21310424804688,0.9538530111312866,0.022528213
299.28,279,315.56709759999995,271,75776,37,-10.963068860769273,0.0003,0.128369140625,360,0.7995757609605789,-0.011912703312555095,0.2,120.37557219862938,37.725223541259766,0.9525270462036133,0.016262762
299.28,279,310.97436921,278,77824,38,-10.949816498160363,0.0003,0.147509765625,370,0.7152014672756195,-0.015002939362602774,0.2,115.64583250284196,25.157535552978516,0.9504700303077698,0.019662626
299.28,279,316.40099871,285,79872,39,-10.949451604485512,0.0003,0.181201171875,380,0.6725315153598785,-0.013130211060342845,0.2,132.43842058181764,41.00513458251953,0.9517078399658203,0.020713646
299.28,279,315.54390855,293,81920,40,-10.948788252472877,0.0003,0.27744140625,390,0.690521627664566,-0.0012092146163922735,0.2,136.9720028281212,58.185096740722656,0.9503865838050842,0.03767643
299.28,279,318.88353384,300,83968,41,-10.943129077553749,0.0003,0.1361328125,400,0.7962898164987564,-0.011472184004378504,0.2,111.14264251589775,44.92583465576172,0.9516570568084717,0.014898112
299.28,279,324.61593084,307,86016,42,-10.946064260601997,0.0003,0.1626953125,410,0.7891298234462738,-0.014005761862790678,0.2,131.01538286805152,112.29185485839844,0.9521259665489197,0.022030462
299.28,279,325.94218852,315,88064,43,-10.94076393544674,0.0003,0.175390625,420,0.43946975469589233,-0.01721752055163961,0.2,169.50170212984085,39.68722152709961,0.9482578635215759,0.018910157
300.0,279,328.05954225,322,90112,44,-10.917103371024131,0.0003,0.166796875,430,0.7794833928346634,-0.014662495319498703,0.2,150.37375214099885,59.68498611450195,0.9470081329345703,0.02762644
300.0,279,326.00470485,329,92160,45,-10.908422568440438,0.0003,0.130810546875,440,0.8229473531246185,-0.015762010680919047,0.2,132.71925064325333,20.222618103027344,0.9468870759010315,0.014346248
300.0,279,324.74747627,336,94208,46,-10.911099848151206,0.0003,0.140478515625,450,0.7128869295120239,-0.01908162702457048,0.2,131.8587885558605,26.64052963256836,0.9485571384429932,0.016345283
300.0,279,329.02426226000006,344,96256,47,-10.916342183947563,0.0003,0.24228515625,460,0.7292468845844269,-0.005775146306405077,0.2,132.81452776193618,54.95541763305664,0.9468386769294739,0.027471375
300.0,279,333.4268893,351,98304,48,-10.895280820131301,0.0003,0.253564453125,470,0.639972060918808,-0.008272223539097467,0.2,157.98975738883018,115.45812225341797,0.9439895153045654,0.037627716
300.0,279,330.26001451,358,100352,49,-10.878288549184798,0.0003,0.217578125,480,0.6508516073226929,-0.014208573640644317,0.2,138.79175377488136,122.23136138916016,0.9427565336227417,0.025144815
300.0,279,327.58159100000006,366,102400,50,-10.86746906042099,0.0003,0.22998046875,490,0.8140649348497391,-0.011421766127750744,0.2,89.8384668648243,23.359947204589844,0.9420790672302246,0.028397541
300.0,279,329.02128752000004,373,104448,51,-10.862888312339782,0.0003,0.23779296875,500,0.7989716529846191,-0.007816173192986752,0.2,105.57858914136887,28.568822860717773,0.9401080012321472,0.029237825
300.0,279,330.17271459999995,380,106496,52,-10.818974870443345,0.0003,0.201416015625,510,0.741847038269043,-0.009735297411680222,0.2,103.02969941794872,133.6993408203125,0.9343810081481934,0.02422924
300.0,279,328.18137586999995,388,108544,53,-10.795055893063545,0.0003,0.199560546875,520,0.7864653915166855,-0.01134068680476048,0.2,140.8604567170143,58.11780548095703,0.9320474863052368,0.019756077
300.0,279,323.98233856,395,110592,54,-10.7903076171875,0.0003,0.198779296875,530,0.8417848199605942,-0.01380962534021819,0.2,113.56230465769768,41.20012664794922,0.9346985220909119,0.026949942
300.0,279,325.48734948,402,112640,55,-10.79346062541008,0.0003,0.2203125,540,0.8667784631252289,-0.008558837063901592,0.2,84.6813538223505,21.7913818359375,0.9309608936309814,0.03176194
300.0,279,326.1065493400001,410,114688,56,-10.772870323061943,0.0003,0.170947265625,550,0.8108495771884918,-0.01546608134485723,0.2,119.03461740016937,17.102956771850586,0.9304320216178894,0.025501885
300.0,279,323.60028554,417,116736,57,-10.761084014177323,0.0003,0.22646484375,560,0.70717453956604,-0.00362152512971079,0.2,134.0682936131954,147.85699462890625,0.928280234336853,0.026488416
