#{"t_start": 1699923301.6315362, "env_id": "CartPole-v1"}
r,l,t
500.0,500,19.070044
350.0,350,19.228418
468.0,468,19.438492
197.0,197,19.525594
500.0,500,19.752664
454.0,454,20.818862
500.0,500,21.068231
427.0,427,21.265697
500.0,500,21.507464
120.0,120,21.565575
164.0,164,22.536534
500.0,500,22.776018
500.0,500,23.00302
500.0,500,23.233222
