#{"t_start": 1700111916.5632012, "env_id": null}
r,l,t
483.628527,300,5.445178
475.893418,300,6.278094
332.498959,300,7.124916
429.190246,300,7.959115
306.9176,300,8.793447
474.328074,300,9.626649
450.19324,300,11.108803
479.313332,300,11.941868
461.541614,300,12.775864
463.292145,300,13.608801
481.114785,300,14.442902
486.159744,300,15.276925
471.289974,300,16.109811
451.460558,300,17.659392
467.229324,300,18.506024
445.151847,300,19.338668
486.511438,300,20.173804
482.844455,300,21.00732
454.226139,300,21.840988
460.696831,300,22.673702
484.82217,300,24.149592
455.028566,300,24.982902
474.844626,300,25.817085
470.62708,300,26.650453
454.72796,300,27.4842
452.057924,300,28.317003
471.213316,300,29.163948
472.579549,300,30.619935
433.87643,300,31.453776
295.615086,300,32.286937
484.221592,300,33.12138
482.275989,300,33.954676
227.746199,300,34.78913
464.756488,300,35.622293
468.537077,300,37.090274
405.160455,300,37.923303
470.084873,300,38.757736
470.981707,300,39.590074
459.188507,300,40.43732
416.011435,300,41.270566
475.033012,300,42.731198
470.042806,300,43.565006
514.950229,300,44.399505
518.185646,300,45.233105
519.849785,300,46.066471
466.849628,300,46.900285
461.75959,300,47.73296
493.974907,300,49.20208
519.034072,300,50.035517
524.363136,300,50.868892
503.890265,300,51.715975
527.256378,300,52.549173
502.869709,300,53.38312
499.387413,300,54.217042
478.305238,300,55.673052
521.239606,300,56.506495
534.420428,300,57.339864
459.533486,300,58.173422
524.363291,300,59.007863
511.374375,300,59.841058
523.404264,300,60.675912
487.466119,300,62.118869
513.243591,300,62.965876
503.198347,300,63.799188
520.026831,300,64.633381
513.810191,300,65.46688
521.053394,300,66.301055
501.074979,300,67.134276
534.121566,300,68.587655
503.473764,300,69.4215
507.175189,300,70.254657
517.769756,300,71.087879
511.398854,300,71.922098
514.918519,300,72.755682
62.767918,300,73.6032
485.77546,300,75.067025
525.993629,300,75.901658
508.623801,300,76.735162
513.476589,300,77.568144
537.718733,300,78.401976
452.684252,300,79.236277
537.136647,300,80.728297
498.090866,300,81.559326
535.481456,300,82.393109
537.11997,300,83.227737
535.450589,300,84.060187
459.010973,300,84.907577
468.65441,300,85.740404
507.788626,300,87.192363
530.525201,300,88.025726
420.543208,300,88.860096
430.996516,300,89.693914
509.946306,300,90.527182
493.273431,300,91.361167
528.581931,300,92.19543
495.357545,300,93.647951
536.050325,300,94.481515
540.689258,300,95.315293
544.19094,300,96.161659
532.168632,300,96.995186
535.026813,300,97.829044
479.844448,300,98.66293
537.90597,300,100.129394
484.794023,300,100.962957
482.980436,300,101.796919
503.887398,300,102.629391
383.236711,300,103.463347
518.200165,300,104.297617
491.384918,300,105.131152
527.581865,300,106.594629
524.810037,300,107.442235
504.630484,300,108.275419
524.354422,300,109.109232
395.555059,300,109.94328
518.600712,300,110.777029
486.714203,300,111.610118
309.504596,300,113.080278
396.790568,300,113.913368
522.573441,300,114.74735
521.641143,300,115.580223
493.335633,300,116.414282
533.712203,300,117.247384
527.812129,300,118.735409
428.221644,300,119.569342
525.540641,300,120.402969
540.961925,300,121.236442
535.849152,300,122.070372
542.527707,300,122.902989
528.173335,300,123.737324
499.131924,300,125.196432
515.794431,300,126.029077
517.32659,300,126.863156
521.232726,300,127.696815
527.379841,300,128.530338
522.493992,300,129.377402
514.537136,300,130.210901
534.633617,300,131.673946
521.404632,300,132.507435
281.976846,300,133.34166
511.273113,300,134.175164
531.568834,300,135.007974
519.470366,300,135.841377
505.562119,300,136.676041
456.867419,300,138.128993
535.758585,300,138.961685
539.957948,300,139.795328
432.314104,300,140.643266
535.776279,300,141.475965
533.260805,300,142.310943
398.486899,300,143.142991
491.971554,300,144.602998
522.546477,300,145.435847
358.480709,300,146.269333
515.969353,300,147.10302
525.796053,300,147.93685
269.036679,300,148.771531
471.321279,300,149.605441
492.761289,300,151.063083
505.43275,300,151.910895
505.242322,300,152.744117
527.354627,300,153.578058
517.490699,300,154.411115
503.685522,300,155.244894
516.741197,300,156.707398
515.933553,300,157.540974
527.028158,300,158.374724
494.147657,300,159.208057
529.166139,300,160.041385
540.02436,300,160.87525
514.801227,300,161.710092
534.762809,300,163.207512
530.86729,300,164.041051
510.72811,300,164.875408
505.795722,300,165.708753
405.63173,300,166.542425
115.553348,300,167.375769
532.184421,300,168.210068
493.181895,300,169.673061
520.93077,300,170.507557
529.472929,300,171.340562
474.295023,300,172.174074
530.233671,300,173.007316
506.487554,300,173.854936
510.073269,300,174.688598
518.977909,300,176.163233
538.493585,300,176.99587
511.013393,300,177.830893
523.822479,300,178.663127
515.374602,300,179.497443
526.974202,300,180.33106
536.496461,300,181.164477
453.89231,300,182.64124
526.653756,300,183.475323
530.595085,300,184.308076
514.569492,300,185.155573
499.480333,300,185.989246
543.015317,300,186.823275
415.085097,300,188.290564
535.835583,300,189.124892
517.066049,300,189.958075
533.37578,300,190.791763
516.194039,300,191.625187
516.773512,300,192.459433
481.564941,300,193.292419
499.925288,300,194.762317
511.094102,300,195.596006
531.43514,300,196.443099
515.723465,300,197.276175
541.290327,300,198.110439
508.367684,300,198.944593
508.280464,300,199.777295
516.961478,300,201.249304
527.11599,300,202.082032
500.942906,300,202.916342
501.445995,300,203.749595
528.166879,300,204.583424
501.705115,300,205.417218
534.662437,300,206.250576
530.107025,300,207.747107
517.269876,300,208.580502
478.456099,300,209.414671
430.152833,300,210.248124
474.752698,300,211.082427
522.818482,300,211.915966
492.830324,300,212.749017
502.175169,300,214.223552
341.261441,300,215.05734
532.36044,300,215.890033
486.927105,300,216.724617
537.470405,300,217.558688
499.944438,300,218.405362
535.962999,300,219.238507
522.68448,300,220.719241
535.663027,300,221.552565
460.549124,300,222.386457
510.314361,300,223.220421
532.686339,300,224.053788
531.590276,300,224.886545
530.610213,300,226.36634
507.035365,300,227.199886
526.729317,300,228.033166
516.510436,300,228.867846
500.121576,300,229.713945
515.010965,300,230.547486
532.930307,300,231.380873
503.572678,300,232.854351
443.642438,300,233.688652
524.544525,300,234.522083
522.035893,300,235.356006
528.459458,300,236.189402
520.65445,300,237.022015
477.555926,300,237.856737
298.0397,300,239.347307
532.19498,300,240.180851
493.980361,300,241.027481
513.195129,300,241.86164
530.921967,300,242.695734
509.019927,300,243.528421
474.666932,300,244.362203
532.578443,300,245.849378
495.90246,300,246.683369
509.062834,300,247.517245
525.995294,300,248.350678
534.890636,300,249.185009
528.206836,300,250.01871
533.246841,300,250.851717
503.149313,300,252.344376
491.07548,300,253.177455
517.549771,300,254.01104
479.764014,300,254.845221
392.346436,300,255.67941
533.513542,300,256.512407
499.011551,300,257.346156
436.855159,300,258.798702
539.579675,300,259.631875
527.22036,300,260.465204
525.856464,300,261.299646
511.915469,300,262.133239
500.89047,300,262.979162
524.102908,300,264.465562
499.92925,300,265.300012
499.630998,300,266.133234
521.080689,300,266.967473
500.389922,300,267.800741
514.54914,300,268.634652
528.296006,300,269.468393
517.546509,300,270.933454
442.679283,300,271.766999
530.29988,300,272.600635
532.33173,300,273.43362
501.592788,300,274.280433
516.262527,300,275.11369
438.913469,300,275.947455
536.069735,300,277.416597
514.772261,300,278.25005
317.35213,300,279.083554
448.769313,300,279.918369
447.516129,300,280.750949
523.37732,300,281.585077
513.444822,300,282.418612
528.079689,300,283.901103
503.82146,300,284.734768
526.947897,300,285.582232
501.842224,300,286.41546
507.441437,300,287.249339
516.359372,300,288.082501
477.20141,300,288.916298
502.340275,300,290.395191
535.312619,300,291.228271
528.180354,300,292.062742
531.260837,300,292.89623
531.597948,300,293.729387
504.691615,300,294.562046
523.223088,300,295.397288
490.391961,300,296.901803
489.405673,300,297.734745
514.387737,300,298.569933
536.899975,300,299.402288
511.372822,300,300.236783
538.755887,300,301.070346
517.136856,300,302.542103
534.97548,300,303.374816
511.846408,300,304.209366
515.208662,300,305.041818
450.988724,300,305.876374
518.190278,300,306.710298
517.473025,300,307.556712
509.09817,300,309.027304
511.146658,300,309.861324
542.637808,300,310.695499
537.646737,300,311.529535
488.145152,300,312.362646
466.008383,300,313.196451
526.861773,300,314.03062
524.813846,300,315.498318
520.670312,300,316.332546
515.493481,300,317.165659
398.402931,300,317.999321
490.756709,300,318.845668
531.517877,300,319.679327
521.269288,300,320.513754
476.495983,300,321.978028
530.840575,300,322.81188
495.109029,300,323.645576
524.045425,300,324.479721
407.298436,300,325.312515
412.034083,300,326.146546
511.351364,300,326.981186
518.475913,300,328.436339
473.159818,300,329.270023
511.413341,300,330.117596
500.012216,300,330.949983
537.432721,300,331.784768
479.890831,300,332.617929
540.668093,300,334.108295
510.820002,300,335.533676
519.103769,300,336.367113
435.8493,300,337.607583
533.846053,300,338.44057
501.181851,300,339.274389
501.950786,300,340.107799
511.532114,300,341.99952
489.64389,300,342.847002
523.621816,300,343.680632
512.951539,300,344.514151
536.424438,300,345.347509
66.400144,300,346.182485
493.174902,300,347.014813
482.133475,300,348.469286
537.074835,300,349.30224
529.646988,300,350.136073
521.523757,300,350.969511
