#{"t_start": 1699943478.9986596, "env_id": null}
r,l,t
358.626581,300,5.439426
365.718523,300,6.272923
371.684874,300,7.119249
377.790002,300,7.952475
356.940184,300,8.787131
409.327298,300,9.620444
397.745785,300,11.185858
306.33789,300,12.019337
425.276761,300,12.852955
341.73742,300,13.687248
385.314972,300,14.520962
393.971467,300,15.354412
319.190459,300,16.188764
245.928215,300,17.761807
287.8949,300,18.608177
317.648315,300,19.441283
293.762486,300,20.275719
383.579677,300,21.109261
440.229592,300,21.943257
409.840912,300,22.776508
378.358817,300,24.328745
341.00406,300,25.162375
364.491846,300,25.996151
383.745192,300,26.829379
385.424058,300,27.663389
291.165402,300,28.496421
172.595904,300,29.343031
391.352552,300,30.895529
425.364464,300,31.729737
379.886042,300,32.563085
380.668759,300,33.397412
350.442756,300,34.230465
307.826587,300,35.064183
277.01913,300,35.897722
425.729416,300,37.45001
354.03968,300,38.283379
403.510629,300,39.11756
387.112107,300,39.950725
376.845654,300,40.797369
320.999609,300,41.630624
311.253774,300,43.184101
395.425342,300,44.01751
375.318975,300,44.851438
369.780196,300,45.685354
312.115443,300,46.518836
341.880496,300,47.352359
419.58899,300,48.186608
416.95743,300,49.757716
314.695153,300,50.592204
336.528426,300,51.425369
373.080326,300,52.271498
352.755288,300,53.104673
400.639744,300,53.939074
390.444552,300,54.772426
363.585898,300,56.32115
411.093084,300,57.154818
357.657742,300,57.987954
400.643873,300,58.82153
405.223127,300,59.655775
309.444933,300,60.488566
403.404609,300,61.322638
342.301369,300,62.853808
307.499839,300,63.700972
295.447989,300,64.53498
365.422501,300,65.368667
318.96744,300,66.202348
435.557894,300,67.037127
261.350661,300,67.869738
421.856546,300,69.427727
291.754945,300,70.260906
327.2265,300,71.094956
336.162301,300,71.927975
339.142314,300,72.762383
442.748064,300,73.595499
423.124086,300,74.441952
284.976009,300,76.03088
413.515203,300,76.865189
349.326301,300,77.6989
295.155729,300,78.532579
431.260418,300,79.365715
346.025619,300,80.200003
274.676321,300,81.747492
424.549133,300,82.58116
381.181924,300,83.415138
388.001329,300,84.248749
421.750066,300,85.083088
415.127955,300,85.929316
437.180579,300,86.76319
266.828357,300,88.336179
411.225738,300,89.169301
410.326515,300,90.003289
430.429778,300,90.83739
362.621074,300,91.670959
268.58243,300,92.504164
372.037067,300,93.338328
409.454741,300,94.923452
421.810202,300,95.75765
414.406959,300,96.590375
337.613822,300,97.437304
438.811828,300,98.270741
346.819926,300,99.105053
427.376516,300,99.938298
418.345791,300,101.512609
346.569126,300,102.345549
396.253368,300,103.179269
378.199649,300,104.012969
364.041453,300,104.846868
325.670349,300,105.680047
333.339221,300,106.514844
387.971334,300,108.078404
307.404197,300,108.925007
398.572488,300,109.758166
389.939589,300,110.592688
432.649352,300,111.426232
306.930169,300,112.259862
368.588163,300,113.093736
450.407601,300,114.667296
428.102222,300,115.500734
303.243406,300,116.334869
429.597545,300,117.168499
422.055365,300,118.001629
404.713597,300,118.835989
412.17656,300,120.398561
396.348827,300,121.23203
440.149162,300,122.066194
277.899163,300,122.899765
405.557378,300,123.7335
406.076029,300,124.56723
422.734836,300,125.401266
410.356325,300,126.945225
294.076682,300,127.779002
363.408966,300,128.612295
332.441048,300,129.446815
408.929507,300,130.280014
421.294928,300,131.126332
401.95828,300,131.960037
401.384319,300,133.531627
357.510266,300,134.364853
416.046182,300,135.198778
289.050017,300,136.032781
340.054261,300,136.866149
345.376519,300,137.700091
340.636333,300,138.533792
323.050813,300,140.120662
432.112335,300,140.954921
368.474335,300,141.788093
412.527183,300,142.635007
383.117683,300,143.468481
401.112783,300,144.302692
291.983046,300,145.136655
388.124537,300,146.701422
306.633741,300,147.535356
356.520079,300,148.369075
320.680931,300,149.202407
309.912094,300,150.036735
289.248615,300,150.87038
378.007465,300,151.70402
316.759557,300,153.272707
410.921732,300,154.119738
302.458431,300,154.95277
385.572058,300,155.787137
438.689668,300,156.620643
428.640648,300,157.454316
339.081032,300,159.024806
385.197401,300,159.858127
359.726135,300,160.691684
362.161758,300,161.52569
414.0572,300,162.360096
336.997921,300,163.193254
305.855026,300,164.026511
398.346288,300,165.611589
343.868811,300,166.445147
388.066758,300,167.280272
327.993491,300,168.113067
421.448661,300,168.947276
294.586504,300,169.780329
335.843158,300,170.614753
380.593104,300,172.19652
247.710606,300,173.03145
310.953115,300,173.864395
370.580347,300,174.69856
390.62947,300,175.531622
415.189702,300,176.378193
318.349801,300,177.211619
262.355544,300,178.781533
354.408866,300,179.614709
393.440458,300,180.449045
431.867851,300,181.2823
421.369432,300,182.116147
337.086789,300,182.949371
393.001227,300,183.783501
429.514417,300,185.362258
405.540553,300,186.196446
333.112966,300,187.029043
330.107312,300,187.875844
383.355202,300,188.709286
353.440518,300,189.544217
342.472758,300,191.10355
358.831675,300,191.938193
318.090222,300,192.771252
366.180128,300,193.605793
310.850514,300,194.438962
440.002315,300,195.272588
350.759063,300,196.105947
294.032,300,197.663437
326.859837,300,198.496397
370.825468,300,199.343218
346.629569,300,200.177088
382.967403,300,201.010929
376.124124,300,201.844749
379.666163,300,202.678482
376.881728,300,204.248287
417.664393,300,205.082575
415.900725,300,205.915753
366.916569,300,206.749999
421.828869,300,207.582732
387.224398,300,208.416936
314.128994,300,209.25018
401.087013,300,210.822596
325.414191,300,211.655821
342.825201,300,212.490085
325.172267,300,213.323888
357.029707,300,214.157901
311.755648,300,214.990701
302.990578,300,215.824433
408.522957,300,217.379939
301.061927,300,218.213957
384.048648,300,219.047625
342.212414,300,219.881481
351.859451,300,220.714566
397.997367,300,221.561071
347.573903,300,222.394864
370.959892,300,223.96406
189.658271,300,224.797263
303.991618,300,225.631295
387.181593,300,226.465367
341.547749,300,227.298919
351.331215,300,228.132078
437.265743,300,229.70234
307.469651,300,230.535383
337.187226,300,231.369761
358.963191,300,232.203304
318.594493,300,233.049394
402.256028,300,233.883012
343.65387,300,234.717047
379.721272,300,236.269888
333.573329,300,237.103863
423.056442,300,237.937186
332.971248,300,238.771022
303.819718,300,239.604734
397.114542,300,240.439549
297.509305,300,241.27221
336.27883,300,242.835602
365.965078,300,243.669196
341.064264,300,244.515849
354.19249,300,245.349144
405.012712,300,246.183126
376.122718,300,247.016975
338.187565,300,247.850748
393.27877,300,249.423726
417.725345,300,250.257073
409.725258,300,251.090708
331.112978,300,251.924202
398.129895,300,252.758073
387.989962,300,253.591901
325.747117,300,254.425115
401.699618,300,255.997112
322.184215,300,256.829603
339.440281,300,257.66424
395.545023,300,258.497681
426.708673,300,259.331499
330.976868,300,260.165529
429.396105,300,260.999963
403.57633,300,262.561692
375.687445,300,263.395877
416.50307,300,264.2291
415.990489,300,265.063396
336.414671,300,265.896792
388.69201,300,266.743364
431.77241,300,268.31626
393.212302,300,269.15059
349.802966,300,269.983891
377.477742,300,270.818054
394.474802,300,271.651782
390.165903,300,272.485565
390.910796,300,273.319121
316.063641,300,274.906613
391.653733,300,275.740085
387.073946,300,276.574315
412.209689,300,277.407066
383.713319,300,278.253442
395.921655,300,279.087307
383.346688,300,279.921393
403.987007,300,281.495918
331.510003,300,282.329718
373.25346,300,283.163137
350.620858,300,283.997362
386.476694,300,284.830702
337.65643,300,285.664559
371.190931,300,286.497744
340.422239,300,288.064528
335.337184,300,288.898516
342.439876,300,289.744601
292.278734,300,290.577564
371.329267,300,291.412039
308.323441,300,292.245847
331.449155,300,293.079485
364.70268,300,294.663459
325.62867,300,295.497115
414.476729,300,296.330837
356.304764,300,297.164957
326.026489,300,297.998354
345.726575,300,298.832088
360.503274,300,299.666167
416.704181,300,301.27248
380.138278,300,302.106094
390.840158,300,302.940057
266.134287,300,303.773715
378.406783,300,304.607687
281.197571,300,305.441211
355.19644,300,306.980158
400.354182,300,307.813481
384.604932,300,308.647525
351.68133,300,309.481243
374.066396,300,310.315536
402.180906,300,311.148626
311.454414,300,311.995093
336.292499,300,313.564286
405.369074,300,314.39805
332.180554,300,315.23127
395.508696,300,316.065369
372.531759,300,316.898791
395.993756,300,317.732994
378.109837,300,318.566175
343.349865,300,320.152794
289.497239,300,320.986181
335.265619,300,321.819776
379.316122,300,322.654477
342.468157,300,323.499638
349.254384,300,324.333386
417.973286,300,325.167411
351.287075,300,326.705742
427.530966,300,327.540504
394.043648,300,328.37394
391.431769,300,329.207575
388.170931,300,330.041066
383.733588,300,330.875458
353.46117,300,331.708836
289.19549,300,333.251332
366.015223,300,334.084856
291.987626,300,334.930888
407.781079,300,335.764434
391.349183,300,336.59841
379.234001,300,337.432281
287.088475,300,338.994151
301.040465,300,339.827956
390.015604,300,340.662077
307.998123,300,341.495174
