#{"t_start": 1700099233.384032, "env_id": null}
r,l,t
434.443321,300,5.957286
462.617609,300,6.790872
398.89915,300,7.637331
436.641987,300,8.470706
465.365644,300,9.304882
413.552232,300,10.139411
428.485293,300,12.829455
422.114003,300,13.662576
457.896726,300,14.496364
427.467928,300,15.32959
427.281279,300,16.163291
451.614145,300,16.99771
450.292779,300,18.030525
458.794354,300,20.695163
455.322188,300,21.541638
488.919936,300,22.37456
443.631793,300,23.209355
419.462187,300,24.041914
453.35097,300,24.877659
416.441328,300,25.710122
433.439741,300,28.320936
444.176678,300,29.15399
426.800202,300,29.988343
456.234699,300,30.821212
450.473577,300,31.658146
434.369424,300,32.489049
467.150404,300,33.33536
432.397888,300,35.958802
432.73716,300,36.794008
448.91259,300,37.626913
389.633203,300,38.460799
448.873237,300,39.29408
424.751613,300,40.127852
429.501109,300,40.96344
447.637275,300,43.599716
445.398565,300,44.433283
413.228529,300,45.266333
444.897488,300,46.100113
457.370212,300,46.946945
464.092544,300,47.78035
449.015969,300,50.366368
439.621304,300,51.198941
393.958456,300,52.034608
326.01322,300,52.867073
450.563035,300,53.700508
460.275963,300,54.534227
361.570728,300,55.367558
468.679687,300,57.917827
462.266689,300,58.751075
462.715636,300,59.584522
462.13109,300,60.430665
424.703765,300,61.26442
459.008338,300,62.098036
462.940886,300,62.931621
459.540098,300,65.566583
418.640196,300,66.3984
352.5423,300,67.232999
430.20114,300,68.066523
443.950073,300,68.900424
439.673474,300,69.73393
440.832561,300,70.567416
433.661155,300,73.210245
435.995068,300,74.056493
449.252303,300,74.890504
463.112791,300,75.724068
435.646359,300,76.557795
426.300187,300,77.391907
443.817214,300,78.224914
461.06737,300,80.841938
442.372497,300,81.675293
460.5866,300,82.508718
418.338301,300,83.342504
397.256008,300,84.176364
458.174247,300,85.009363
418.850327,300,85.85649
421.932798,300,87.837409
452.397614,300,88.671878
436.841005,300,89.50505
431.924778,300,90.339371
482.254656,300,91.172613
382.895493,300,92.00787
474.563679,300,94.591857
437.91798,300,95.425608
446.090976,300,96.259329
420.495065,300,97.09276
475.574898,300,97.92625
483.711264,300,98.772689
479.170403,300,99.60663
460.077559,300,102.062445
461.851859,300,102.8959
467.108843,300,103.729504
462.03696,300,104.562482
451.193909,300,105.399146
453.969878,300,106.23005
440.238118,300,107.064411
443.27926,300,109.317574
445.246519,300,110.15224
442.381413,300,110.985418
463.330231,300,111.832258
436.039997,300,112.66506
400.965516,300,113.499559
465.486825,300,114.332838
443.992545,300,116.988186
428.782775,300,117.821599
468.597012,300,118.657304
463.459248,300,119.488816
446.202368,300,120.322871
427.003226,300,121.155819
462.343931,300,121.98906
465.689949,300,124.612691
449.79584,300,125.459467
451.235701,300,126.293083
437.612016,300,127.126354
442.480423,300,127.960397
443.89494,300,128.794369
449.206403,300,129.627407
175.689285,300,132.209944
334.370302,300,133.044197
423.479664,300,133.877999
435.137803,300,134.711437
430.141034,300,135.545868
473.181514,300,136.377988
454.45606,300,138.907321
