rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss,train/entropy_loss,train/std
300.0,2048,10,194,435.25332383333335,1,,,,,,,,,,,
300.0,4096,18,224,436.6670843076923,2,-0.03582501411437988,0.0003,73360,276.1262798666954,0.2,-0.009667138424993027,0.0295186,0.166015625,132.15396118164062,-27.805565977096556,10.941397666931152
300.0,6144,25,238,440.6297426000001,3,0.019587159156799316,0.0003,73370,321.2289454698563,0.2,-0.010345504176075337,0.022294277,0.085107421875,97.1155776977539,-27.7934427857399,10.938682556152344
300.0,8192,33,246,441.6755398888889,4,-0.04006946086883545,0.0003,73380,310.8687804341316,0.2,-0.014191825948364567,0.028458744,0.1412109375,67.21446990966797,-27.797945725917817,10.947236061096191
300.0,10240,40,251,439.1778346176471,5,-0.00039196014404296875,0.0003,73390,314.61263486146925,0.2,-0.01014575520384824,0.0391101,0.13916015625,162.0297393798828,-27.7865050971508,10.923273086547852
300.0,12288,48,254,440.11677475,6,0.11075299978256226,0.0003,73400,309.9778282165527,0.2,-0.011294692469527945,0.023417305,0.1078125,182.10711669921875,-27.78642736673355,10.916199684143066
300.0,14336,55,257,435.8657375531914,7,-0.06423211097717285,0.0003,73410,285.3473921775818,0.2,0.0009396470413776115,0.09809489,0.227880859375,274.1505126953125,-27.723752373456954,10.803190231323242
300.0,16384,63,259,438.66918066666665,8,0.006810784339904785,0.0003,73420,316.7203135967255,0.2,-0.012879248445824488,0.037109412,0.1697265625,99.48348236083984,-27.688246458768845,10.839251518249512
300.0,18432,70,260,437.27074750819673,9,-0.03058767318725586,0.0003,73430,327.44184144735334,0.2,-0.010841844728565775,0.020281846,0.112548828125,133.86199951171875,-27.69903525710106,10.819647789001465
300.0,20480,78,262,437.6661863970588,10,-0.020990848541259766,0.0003,73440,330.79431335926057,0.2,-0.011700712826859671,0.039133664,0.161279296875,103.08026123046875,-27.71389212012291,10.867607116699219
300.0,22528,85,263,437.57261366666665,11,-0.01573050022125244,0.0003,73450,316.77572082281114,0.2,-0.01387349803262623,0.023204569,0.14140625,147.25111389160156,-27.709953808784483,10.802780151367188
300.0,24576,92,265,437.3603996172839,12,-0.004956722259521484,0.0003,73460,321.77615230083467,0.2,-0.012335511617129669,0.022655401,0.118017578125,129.33236694335938,-27.708497083187105,10.848628997802734
300.0,26624,99,266,439.13314356818177,13,0.02308422327041626,0.0003,73470,293.05497524738314,0.2,-0.0070994298432196954,0.057078324,0.218701171875,79.34127044677734,-27.709361505508422,10.799381256103516
